tip_label,species,latin,common,harem_size,male_weight,female_weight,male_length,female_length,IUCN_rating,Abundance,BreedingType,birth_mass,breeding_season_length,lactation_length,life_span_years,latitude,rel_birth_weight,log_male_weight,log_female_weight,Longevity,Generation_time,Age_primiparity,g2,CIlow,CIup,p_val,num_alleles_mean,num_alleles_mean.CIlow,num_alleles_mean.CIhigh,num_alleles_sd,num_alleles_sd.CIlow,num_alleles_sd.CIhigh,exp_het_mean,exp_het_mean.CIlow,exp_het_mean.CIhigh,exp_het_sd,exp_het_sd.CIlow,exp_het_sd.CIhigh,obs_het_mean,obs_het_mean.CIlow,obs_het_mean.CIhigh,obs_het_sd,obs_het_sd.CIlow,obs_het_sd.CIhigh,mean_allele_size_sd,mean_allele_size_sd.CIlow,mean_allele_size_sd.CIhigh,sd_allele_size_sd,sd_allele_size_sd.CIlow,sd_allele_size_sd.CIhigh,mean_allele_size_kurtosis,mean_allele_size_kurtosis.CIlow,mean_allele_size_kurtosis.CIhigh,sd_allele_size_kurtosis,sd_allele_size_kurtosis.CIlow,sd_allele_size_kurtosis.CIhigh,mean_allele_range,mean_allele_range.CIlow,mean_allele_range.CIhigh,sd_allele_range,sd_allele_range.CIlow,sd_allele_range.CIhigh,mratio_mean,mratio_mean.CIlow,mratio_mean.CIhigh,mratio_sd,mratio_sd.CIlow,mratio_sd.CIhigh,prop_low_afs_mean,prop_low_afs_mean.CIlow,prop_low_afs_mean.CIhigh,prop_low_afs_sd,prop_low_afs_sd.CIlow,prop_low_afs_sd.CIhigh,IAM_ratio,IAM_Wilc_Exc,TPM70_ratio,TPM70_Wilc_Exc,TPM80_ratio,TPM80_Wilc_Exc,TPM90_ratio,TPM90_Wilc_Exc,SMM_ratio,SMM_Wilc_Exc,nloc,nind,short,bot,neut,common_abbr,SSD,abc_out,logAbundance,logharem_size,logmale_weight,logbreed_season,loglactation_length,logSSD
Arctocephalus_forsteri,new_zealand_fur_seal,Arctocephalus forsteri,New Zealand Fur Seal,6.2,164.38,55,199.38,141.88,least concern,2e5,land,3.9,45,285,15,42,0.08378088077336197,2.215848976111454,1.6679196853173615,5475,3285,1825,-0.002937430892344217,-0.012582626966347396,0.007027220968532903,0.683,6.867916666666667,6.25,7.416666666666667,2.302416471283763,1.7489688833104027,2.8232995916368306,0.7749549698338011,0.7406707229675495,0.8054492747391354,0.17273741277433122,0.122886386974537,0.22536042983965154,0.7213934523809524,0.6578703703703703,0.7877372685185186,0.20289819240213605,0.13026778945578593,0.2691219847661601,2.966105042621167,2.675542204515478,3.240914057063965,1.9187612352335335,1.5185368223877027,2.305051396886675,3.1698554953172122,2.4886369946449984,4.219384693252564,1.7891190144875149,0.636680365835502,4.455776567314545,10.250189393939394,9.166666666666666,11.416666666666666,6.574621657635365,5.427204202399745,7.432677583401536,0.7202973751623991,0.6725774200490473,0.7688275482568959,0.22591009082769195,0.19059209665791432,0.2639900122409648,0.31903071835571833,0.22632173382173382,0.40642639189514185,0.20849153217519398,0.14253211903033422,0.26586902677690294,0.75,0.00171,0.6666666666666666,0.23486,0.6666666666666666,0.31104,0.5833333333333334,0.54517,0.4166666666666667,0.94507,12,54,NZFS,0.208,0.792,New Zealand Fur Seal (NZFS),2.9887272727272727,neut,12.206072645530174,1.824549292051046,5.102180820720354,3.8066624897703196,5.652489180268651,1.094847635487883
Arctocephalus_australis,south_american_fur_seal,Arctocephalus australis,South American Fur Seal,6,159,48.5,189.25,141.25,least concern,275e3,land,4,45,365,22,35,0.08869179600886917,2.2013971243204513,1.6541765418779606,9417,4270,1971,0.015620747456166262,-0.0057055605214957695,0.03969258826071634,0.042,5.758,5,6.714285714285714,1.1678137524353465,0.5773502691896257,1.8129811324499467,0.7980514408413347,0.737170020228678,0.8465432132551216,0.0699702746853643,0.029405657620969725,0.14761995059633035,0.7653123015873016,0.6498696145124717,0.8663548752834466,0.15709104719037675,0.07325439571441282,0.25651527133929475,2.0465904270109614,1.7630053952881888,2.6296365705659057,0.7029962379180729,0.45389779303886224,0.9696892115311552,2.6342670073402243,1.989767994498077,3.7302600540302424,1.0146587377499232,0.37697510622389285,3.3296955666884993,6.609714285714285,5.571428571428571,9.142857142857142,2.293814046356996,1.2909944487358056,3.101458950082625,0.7926644756037613,0.6624354712747571,0.8766238919810349,0.16251460020620417,0.09955739857953094,0.22699951279505756,0.04359319727891156,0,0.16430272108843536,0.08364171935359546,0,0.23626623831423493,1,0.00391,0.8571428571428571,0.01172,0.7142857142857143,0.05469,0.5714285714285714,0.59375,0.14285714285714285,0.99609,7,226,SAFS,0.641,0.359,South American Fur Seal (SAFS),3.2783505154639174,bot,12.524526376648708,1.791759469228055,5.0689042022202315,3.8066624897703196,5.8998973535824915,1.1873404042767939
Arctocephalus_galapagoensis,galapagos_fur_seal,Arctocephalus galapagoensis,Galapagos Fur Seal,5.9,64.5,27.4,151.25,120,endangered,7e3,land,3.6,90,545,22,0,0.12788632326820604,1.8095597146352678,1.449478399187365,8030,3650,NA,-0.0014816627823857065,-0.012776015002217662,0.01239141932956789,0.588,5.35975,4.833333333333333,5.833333333333333,2.1025659770444154,1.5642792899510294,2.6787950723647875,0.6685355473903462,0.6192982456140351,0.7140684124527004,0.20624184199231443,0.15537345974065536,0.2625231659792358,0.685734126984127,0.6064583333333334,0.7583333333333333,0.23705820547829204,0.16786541857580486,0.30416662074958795,1.806700676939279,1.5358247825559714,2.098407304559906,1.044117154589321,0.7516331949179295,1.3686880273977295,3.914719269381187,2.8502588859374467,5.222774979911107,2.6619145668473836,1.0400567410005488,4.823636071940046,6.330064393939394,5.125,7.583333333333333,3.9629280673040452,2.218838917215715,6.084847850174216,0.801606308863503,0.7247075793036514,0.8842844012605041,0.20493576019419163,0.15328147444230503,0.25067411801132444,0.24384998774373773,0.12196676587301589,0.3521089616402116,0.19660765932022048,0.13028849692686073,0.2603242326711055,0.8333333333333334,0.00232,0.5,0.21191,0.5,0.3667,0.5,0.60449,0.4166666666666667,0.9353,12,90,GFS,0.572,0.428,Galapagos Fur Seal (GFS),2.354014598540146,bot,8.85366542803745,1.7749523509116738,4.1666652238017265,4.499809670330265,6.300785794663244,0.8561222104077023
Erignathus_barbatus,bearded_seal,Erignathus barbatus,Bearded Seal,1,265,276.36,230,230,least concern,5e5,ice,36,20,24,31,79,0.11952984925957899,2.423245873936808,2.478826128956196,11480,6935,2190,-0.005570552381315763,-0.014440335808981002,0.004628938689249809,0.836,5.1454615384615385,4.461538461538462,5.6923076923076925,2.232826164924777,1.572702694144732,2.968260057959631,0.6768526315789474,0.6315587044534413,0.7137753036437248,0.18839804573760663,0.13443544542911043,0.2494545666406168,0.6201384615384615,0.5461538461538462,0.6923076923076923,0.2199583968072717,0.15483655567842813,0.27946821381979614,1.4872300342538298,1.274157279010672,1.6953165054643335,0.8978682541705113,0.6197740714466106,1.182506363359267,3.5917146362265413,2.73309095718154,4.664106695658471,2.330712007426593,0.9986112752446823,4.5029674456331135,5.373435897435898,4.384615384615385,6.333653846153846,3.5707122153049164,2.3259268501150014,4.772944719456947,0.873348992364567,0.8125425442612944,0.9385548661864451,0.15618785470020083,0.103793107706565,0.21492583821109462,0.26821832227601455,0.16785457597957598,0.3634502997002997,0.20578684343318898,0.1433465955000854,0.2592288672581144,0.8461538461538461,0.00262,0.3076923076923077,0.70605,0.3076923076923077,0.79285,0.3076923076923077,0.98364,0.23076923076923078,0.99915,13,119,BS,0.129,0.871,Bearded Seal (BS),0.9588941959762628,neut,13.122363377404328,0,5.579729825986222,2.995732273553991,3.1780538303479458,-0.04197453763437198
Cystophora_cristata,hooded_seal,Cystophora cristata,Hooded Seal,1,343.18,222.5,260,206,vulnerable,662e3,ice,23,20,4,35,49,0.10836277974087162,2.5355219699029696,2.3268476989159903,12775,3650,1387,-0.0013748283758170388,-0.0049835549574684035,0.0022034602429418567,0.72,6.455,5.769230769230769,7.153846153846154,2.373559925428034,1.8080127072107377,2.8978882468226,0.7320638914914039,0.6875009922997538,0.7727996745256808,0.17491112823774144,0.12329664919644576,0.23692782987507513,0.7215812271062271,0.6503685897435898,0.7914529914529914,0.2007380025739674,0.1325040901852793,0.2665114824871738,2.4613848648071945,2.215439282141119,2.707140711515942,1.078109447548685,0.8730009341086186,1.2711487198406455,3.23480192753573,2.510015651778913,4.306983475548329,1.7645824515933066,0.8268147592531728,4.341907741724867,8.246551282051282,7.228846153846155,9.307692307692308,3.4361923565159724,2.586949495507729,4.2158496123851394,0.7327793243714765,0.6649283355533356,0.7996782962407962,0.18850638815924264,0.13392632387084447,0.23176686839911861,0.34421343464228077,0.2371619352869353,0.447639652014652,0.19006023877458506,0.11336001095250632,0.25420109131942314,0.8461538461538461,0.03406,0.38461538461538464,0.81213,0.3076923076923077,0.9364,0.3076923076923077,0.98669,0.07692307692307693,0.99988,13,300,HoodS,0.182,0.818,Hooded Seal (HoodS),1.5423820224719103,neut,13.403020834919145,0,5.838255090857475,2.995732273553991,1.3862943611198906,0.43332798925118016
Phoca_vitulina,harbour_seal_waddensee,Phoca vitulina,Harbor Seal,1,80,66,145,137.5,least concern,425e3,land,10.9,90,23.9,40,44,0.1442753143613501,1.9030899869919435,1.878234468675044,15987,5414,1095,-0.004614981288395992,-0.015005474422862217,0.00677120902293474,0.775,3.107066666666667,2.8,3.466666666666667,1.0989783274079103,0.7982033375310683,1.4142135623730951,0.4830515101479188,0.4389035087719299,0.5216422428620571,0.1853069930213964,0.14280041415943454,0.22552955077045184,0.46676222222222225,0.39333333333333337,0.54,0.21364358392719876,0.15886502207249786,0.26692692008787067,0.9256515153895165,0.8119396050787429,1.0405812386975772,0.4625060301601499,0.38338821907657367,0.5475901213951889,4.27286544065051,2.9062105313850317,5.804045591876267,3.9575216968358595,1.5559167384170998,5.819129570865414,2.9479021978021978,2.466666666666667,3.5,1.3711964555019729,0.9903099108404536,1.7974849873743104,0.8353588073434502,0.7749900793650794,0.8922420634920635,0.1981976321809526,0.16207060801037554,0.23098093027353014,0.18959206349206348,0.09994444444444449,0.28555555555555556,0.20494385767057896,0.1533671557697221,0.2575583613625042,0.7333333333333333,0.03186,0.5333333333333333,0.7193,0.26666666666666666,0.97937,0.13333333333333333,0.99832,0.06666666666666667,0.99997,15,259,HS,0.482,0.518,Harbor Seal (HS),1.2121212121212122,neut,12.959844447906553,0,4.382026634673881,4.499809670330265,3.173878458937465,0.1923718926474561
Halichoerus_grypus,grey_seal_orkneys,Halichoerus grypus,Grey Seal,5,233,155,216.35,180,least concern,147e3,land,16.1,60,16,46,59,0.09333333333333334,2.367355921026019,2.2367890994092927,16347,5110,1825,0.001333628451646085,-0.003144376355149967,0.005934746618481751,0.257,5.348777777777777,4.777777777777778,6,1.3197414087024477,0.7264831572567789,1.9224537134615967,0.7378700048184053,0.6858350772082712,0.7771104231166152,0.10257387737248248,0.05830089014105748,0.16821374161719743,0.7199603174603174,0.6271527777777778,0.811329365079365,0.16233385214727153,0.09089591253526552,0.24592905743073204,2.1113560079374305,1.8222084451997707,2.393549212776044,1.0213884158876416,0.6414607715808142,1.3806204182108295,3.5729303869614664,2.5573088084701423,4.854952788028892,2.0863721939774176,0.7012372601110859,4.16850565511105,7.158333333333333,6,8.11111111111111,3.130753795591209,1.7867142155834967,3.993223278981055,0.722663443963444,0.6424894781144782,0.8021563852813852,0.23107584838660467,0.17126497074850291,0.2768790870836162,0.15986265432098765,0.031646825396825486,0.3025694444444444,0.1801370086222746,0.07959386204376878,0.2617410019820865,1,9.8e-4,0.8888888888888888,0.00293,0.8888888888888888,0.00977,0.7777777777777778,0.10156,0.4444444444444444,0.91797,9,1254,GS,0.625,0.375,Grey Seal (GS),1.5032258064516129,bot,11.898187865760873,1.6094379124341003,5.4510384535657,4.0943445622221,2.772588722239781,0.40761333664645394
Phoca_hispida_hispida,arctic_ringed_seal,Pusa hispida,Ringed Seal,1,71.67,66.5,129.3,128.9,least concern,25e5,ice,5.4,60,39,46,72,0.07312119160460394,1.8553374044695403,1.8683504996479683,16790,6804,2512,8.254532925520142e-4,-0.0019376222252347696,0.00371342808177758,0.261,9.6651,8.8,10.6,2.3157917017825755,1.4336238735436388,3.212821536005731,0.8808084726522187,0.8526184210526315,0.9052763157894738,0.0704694285021526,0.03729834454947043,0.11593745558552161,0.8653344444444444,0.79,0.93,0.11654294413161947,0.06666666666666665,0.18138347125943713,3.8475718270334394,3.2512242075969477,5.0768204074144085,1.8302240410220862,0.8808680366564005,5.3148800271887,3.4574637597989066,2.497054916259702,4.680309839426138,2.2831480334644674,0.745168648917678,4.419053402776951,14.160106666666668,11.498750000000001,21.05125,7.518384553881615,3.241493179939921,28.21303836421793,0.7157668373257704,0.6249924292999091,0.809606083225558,0.20324777615950484,0.12312909610547464,0.28665907773852123,0.4805508330884801,0.3868515512265513,0.5720530303030303,0.15431099282508992,0.08728489108631442,0.22996316854469445,0.8,0.06543,0.4,0.83887,0.3,0.94727,0.2,0.99658,0,1,10,303,RS,0.009,0.991,Ringed Seal (RS),1.0777443609022557,neut,14.73180128983843,0,4.272072250005828,4.0943445622221,3.6635616461296463,0.07487030234401944
Phoca_hispida_botnica,baltic_ringed_seal,Phoca hispida botnica,Baltic Ringed Seal,1,95,95,NA,NA,least concern,6500,ice,NA,NA,NA,NA,NA,NA,NA,NA,11862,6789,NA,0.005936383052168814,-0.004842759158713082,0.020262590793875955,0.164,6.92264705882353,6.411764705882353,7.470588235294118,2.286700854946984,1.8627537185106855,2.669407154368499,0.7930131070678649,0.7652953570489084,0.8169224893259677,0.09956739126035681,0.0742301459206336,0.1410823476432098,0.741819421101774,0.6941176470588235,0.7915196078431372,0.21852075638395083,0.18474558502907534,0.25195651909059397,2.79160328427459,2.6424080248886908,2.9389829903794227,1.2731728722545126,1.1149753798512931,1.4226549160907673,2.9338336039864,2.557662489639843,3.3652667522702138,1.6132795696176403,0.9557745721109299,2.743746643624545,9.13623468137255,8.558088235294118,9.764705882352942,4.273381003439919,3.607513573604304,4.893196880807317,0.7226474565532616,0.6830553145086017,0.7644108743383126,0.14791502838480672,0.11263837020774271,0.18051737147702726,0.31219319095936743,0.24708158263305324,0.38076839826839826,0.22065944317573544,0.16865109695926225,0.2683739492281488,0.8235294117647058,0.00467,0.4117647058823529,0.69439,0.4117647058823529,0.78466,0.35294117647058826,0.93382,0.23529411764705882,0.99667,17,21,BRS,0.448,0.552,Baltic Ringed Seal (BRS),1,neut,8.779557455883728,0,4.553876891600541,NA,NA,0
Phoca_hispida_saimensis,saimaa_ringed_seal,Phoca hispida saimensis,Saimaa Ringed Seal,1,59,59,132,132,endangered,280,ice,5.1,NA,56,NA,NA,NA,1.7708520116421442,NA,7665,6789,NA,-0.004657973052158426,-0.023688345889659724,0.01513864648880551,0.65,2.5434117647058825,2.2941176470588234,2.766176470588234,1.4617248152390552,0.9432422182837986,2.03286415804131,0.3601049323134827,0.3114473684210527,0.4046512474959024,0.2386734422451195,0.20790865612947268,0.2659474267961876,0.334181045751634,0.27313725490196084,0.39024509803921564,0.2458098406959447,0.19076834102460866,0.2974307721759845,1.9256686593207346,1.5261263508938119,2.2290708965995245,1.895025943272948,1.4309568601725855,2.2558777208439023,5.504218777401399,3.4005543686252975,7.697565133734315,5.250118280784932,2.2943643006632644,7.212167372176781,6.006511381388219,5.1,6.714285714285714,4.939418095772291,3.643569535089671,5.663200966355478,0.5143771314077642,0.4711303580572014,0.5686405049923196,0.2649077553207234,0.2227818383453169,0.32211317930989314,0.12345571046600458,0.041666666666666664,0.2156862745098039,0.20280796023088796,0.11785113019775792,0.2639393466914756,0.6470588235294118,0.01008,0.5882352941176471,0.21534,0.5882352941176471,0.30561,0.5294117647058824,0.40879,0.5294117647058824,0.57318,17,172,SRS,1,0,Saimaa Ringed Seal (SRS),1,bot,5.634789603169249,0,4.07753744390572,NA,4.02535169073515,0
Phoca_hispida_ladogensis,lagoda_ringed_seal,Phoca hispida ladogensis,Ladoga Ringed Seal,1,47,47,NA,NA,vulnerable,4e3,ice,NA,NA,56,NA,46,NA,NA,NA,NA,6789,NA,0.0014836795252224366,-0.010158038556342935,0.012212240278405197,0.411,6.455823529411765,6.0588235294117645,6.882352941176471,2.3538275000924114,1.8391174353957038,2.891449100673521,0.7351368421052632,0.7145433436532508,0.7582120743034056,0.16927479912462917,0.1350236109641773,0.20516241474734923,0.6913470588235294,0.6529411764705882,0.7294117647058823,0.23179754577977854,0.19759584420492965,0.2627938798705953,2.8406417898313485,2.7007087223262842,2.968608739598429,1.6283783466372446,1.488367140251205,1.7576977943356697,3.1660301146130876,2.6261171117452258,4.003566415735372,2.3297893587573495,1.126201701938099,4.682459316228502,8.797022794117646,8.343244485294118,9.17720588235294,4.883960074035204,4.397761021532669,5.156560819433796,0.7359177936434176,0.6952770579414178,0.7781343968853643,0.2449457822681442,0.18924029635356182,0.3185766523590049,0.37820321573850985,0.3015301120448179,0.45566293183940243,0.1913459885348646,0.14599845003910375,0.23819182546395895,0.6470588235294118,0.0601,0.47058823529411764,0.84698,0.47058823529411764,0.91287,0.35294117647058826,0.97156,0.17647058823529413,0.99842,17,16,LRS,0.713,0.287,Ladoga Ringed Seal (LRS),1,bot,8.294049640102028,0,3.8501476017100584,NA,4.02535169073515,0
Monachus_monachus,mediterranean_monk_seal,Monachus monachus,Mediterranean Monk Seal,1,260,301,254.75,364.6,endangered,400,land,22,365,42,30,37,0.0763888888888889,2.4149733479708178,2.459392487759231,8651,4015,1461,0.0741802238277609,0.008001721840297018,0.15339975674346254,0.01,2.2233125,1.9375,2.4375,0.673270967388657,0.47871355387816905,0.8944271909999159,0.38684249894935074,0.323605230995856,0.45195515027413247,0.2213696180840019,0.16652643878785164,0.2793708655550884,0.3480575710978836,0.26041480654761906,0.43670386904761904,0.2554614612782802,0.17825724092541875,0.3350368827092824,1.2357571868115607,0.9479951342168338,1.4925315862094244,1.074931584009463,0.7369315174437414,1.36705889272788,4.1102476042237965,2.4465759646197545,5.920061071705439,4.009719080009002,1.4866958673009276,6.019139336906616,3.541141863691864,2.9229166666666666,4.3003124999999995,2.6023732462100373,2.064552427294079,3.241408748361794,0.6511438650018136,0.581417213020474,0.7211767399267399,0.2696336956653453,0.23776904137523105,0.3047747302801972,0.004604166666666666,0,0.041666666666666664,0.016249576604761937,0,0.12523427406179086,0.625,0.01932,0.5625,0.18773,0.5625,0.28094,0.5625,0.39098,0.5625,0.56987,16,109,MMS,1,0,Mediterranean Monk Seal (MMS),0.8637873754152824,bot,5.991464547107982,0,5.560681631015528,5.8998973535824915,3.7376696182833684,-0.146428633733348
Monachus_schauinslandi,hawaiian_monk_seal,Monachus schauinslandi,Hawaiian Monk Seal,1,173,265,214.2,233.7,endangered,1209,land,10.7,120,38,30,28,0.03985102420856611,2.2380461031287955,2.428944290035574,10950,5475,NA,0.01290770831197352,0.007328646880126811,0.018285105809415066,0.001,2.7263333333333333,2.4444444444444446,2.9444444444444446,1.0078854014508956,0.6978023391872252,1.3286674280058235,0.4622214363413409,0.4206433345755456,0.5027649008986083,0.1818989967244859,0.13863441202499566,0.22559717931206233,0.45447054673721343,0.3775644841269842,0.5279326499118167,0.21902342101686165,0.16060176282777824,0.2789530875122153,1.4427612912371108,1.2274726431754315,1.587603188983362,0.8705948915206579,0.6322554887999161,1.079446966547063,3.643860101787104,2.5579455766371746,5.123832628341782,3.27700598053529,1.4357608962522872,5.529201744159237,4.1318343195611575,3.562326388888889,4.611458333333332,2.623362592981199,2.0003522666263533,3.2201875322381683,0.6116952517737385,0.5863639414098973,0.6453110410830999,0.21116658185467968,0.1878890584822618,0.23455680085146582,0.05113439153439153,0,0.13703703703703704,0.11329806678918257,0,0.21934098712366265,0.9444444444444444,2e-5,0.8333333333333334,0.00237,0.7222222222222222,0.00797,0.7222222222222222,0.05419,0.4444444444444444,0.51694,18,2386,HMS,1,0,Hawaiian Monk Seal (HMS),0.6528301886792452,bot,7.097548850614793,0,5.153291594497779,4.787491742782046,3.6375861597263857,-0.4264382314884433
Mirounga_angustirostris,nes,Mirounga angustirostris,Northern Elephant Seal,13,2275,513,450,295,least concern,22e4,land,40,70,26,20,37,0.07992007992007992,3.3569814009931314,2.6994040818153375,7406,3184,1460,0.006744182313860758,-0.0018873348967677697,0.016353708110067387,0.034,2.2810571428571427,2.1714285714285713,2.3714285714285714,0.5673895235867548,0.45834924851410563,0.6896595189663087,0.4226193499350421,0.393734704408079,0.4507955131813491,0.17862067596447512,0.1519237958079636,0.20545977976809052,0.4024406462585034,0.3522687074829932,0.45066269841269835,0.2159814833575499,0.1744513615864381,0.2555063188995918,0.9658959423683141,0.8806263162303791,1.0394720807771214,0.7590370180194836,0.6350765936339601,0.8793143073074816,3.5204437461196223,2.4866049499825307,4.715520332723906,4.1015449480238795,1.926278106932142,5.823908824991889,2.4858714037227796,2.3028074866310164,2.6363636363636362,1.9766195729416172,1.7077173556036769,2.186914662095707,0.7948227818159033,0.7714285714285715,0.8222222222222222,0.2519805165131025,0.23106541717676377,0.2682351560320285,0.06079333333333333,0.019047619047619046,0.1119047619047619,0.14542963914637752,0.07850136932560092,0.19634260915060497,0.9142857142857143,0,0.8571428571428571,0,0.8571428571428571,0,0.8571428571428571,0,0.8285714285714286,8e-5,35,260,NES,0.979,0.021,Northern Elephant Seal (NES),4.434697855750487,bot,12.301382825334498,2.5649493574615367,7.729735331385051,4.248495242049359,3.258096538021482,1.4894594862142811
Mirounga_leonina,ses,Mirounga leonina,Southern Elephant Seal,48,3510,503,467,270,least concern,65e4,land,40,60,25,23,54,0.07744433688286544,3.545307116465824,2.7130703258556395,8280,3468,1460,0.001997687490068678,-0.0023004054129793367,0.006464767577652341,0.167,6.145307692307692,5.615384615384615,6.6923076923076925,1.9896515149511407,1.5191090506254998,2.5444761689508852,0.7810144346537535,0.7534412955465587,0.8077125506072875,0.10058975909223307,0.06415208796370732,0.15191319919258403,0.7660950854700854,0.6964957264957266,0.8367735042735043,0.15450026248930965,0.09999127950410726,0.21275809222368777,2.1506970805243135,1.934693594649733,2.382735478909745,0.943563741925625,0.778712255966581,1.0978640395704564,2.8664663126682406,2.281916743595429,3.6879928482590674,1.551760220366464,0.6702732646058573,3.008319515217224,7.133846153846154,6.269230769230769,8.039423076923075,2.9978114574141275,2.3134916041328966,3.79777262656375,0.7936772139773978,0.723942757122105,0.8587923748601498,0.17166192998047908,0.1239493085068547,0.23083653175188812,0.25708808371116065,0.1677762515262516,0.3475137362637363,0.19078393452632691,0.13422464087002486,0.2482435907548998,0.9230769230769231,1.2e-4,0.9230769230769231,0.01074,0.9230769230769231,0.01074,0.8461538461538461,0.01331,0.38461538461538464,0.77258,13,260,SES,0.442,0.558,Southern Elephant Seal (SES),6.978131212723658,neut,13.38472764187182,3.871201010907891,8.163371316459912,4.0943445622221,3.2188758248682006,1.9427811463601723
Ommatophoca_rossii,ross_seal,Ommatophoca rossii,Ross Seal,1,173.8,185,199,214.6,least concern,22e4,ice,27,60,30,21,70,0.15472779369627507,2.2400497721126476,2.241795431295199,7665,4015,1278,0.01379340543880092,5.146209512376617e-4,0.0288213851446527,0.015,7.233666666666666,6.555555555555555,8,3.7002545064345687,2.7838821814150108,4.603742438977711,0.7291981691702022,0.6789181286549707,0.7707748538011696,0.21596326826032422,0.1546280796823606,0.2891295895325884,0.7264358024691359,0.6222222222222222,0.8222222222222222,0.2194072176259644,0.14142135623730953,0.3041495345530786,2.2535684010957215,1.9270248407426858,2.593338872761006,1.3913433788117406,0.9974456531916965,1.762173168218464,4.09310386241774,2.9475106977176426,5.66105489366895,2.609140987763424,0.8476960161458726,5.158436028904571,8.3152792989418,7.1097222222222225,9.5,5.0699978238563155,3.8073640618083475,6.230023621411243,0.8247907909168755,0.7237221159831454,0.9370245186911853,0.23854022482297485,0.13756776898371434,0.3802530651287598,0.37482256384921503,0.22641835016835019,0.4941119027577361,0.23052904972001664,0.13664798080661572,0.3047670701318745,0.7777777777777778,0.08203,0.3333333333333333,0.75195,0.3333333333333333,0.82031,0.2222222222222222,0.99023,0.1111111111111111,0.99902,9,90,RoS,0.034,0.966,Ross Seal (RoS),0.9394594594594595,neut,12.301382825334498,0,5.157905212831292,4.0943445622221,3.4011973816621555,-0.06245061224703309
Lobodon_carcinophagus,crabeater_seal,Lobodon carcinophagus,Crabeater Seal,1,220.5,224,226,228.5,least concern,4e6,ice,30.7,45,17,39,65,0.1370535714285714,2.3434085938038574,2.3502480183341627,14235,5475,1825,4.002418822923737e-5,-0.004150835858038756,0.004830846693808831,0.472,8.758571428571429,7.857142857142857,9.857142857142858,2.6604195450067127,1.8257418583505538,3.5050983275386565,0.8604365595360951,0.8263031352892034,0.8894870755319672,0.09567374497226508,0.05483174795135898,0.14774783744879175,0.8537289682539683,0.7714285714285715,0.9285714285714286,0.1394428511378546,0.05773502691896256,0.23401261667248788,3.6032391866234077,3.151005438582458,4.0527649785152295,1.6387753340163986,1.2841937603309346,1.9831430955451705,2.9541120415613027,2.20772140482942,3.9896057577051756,1.3942835918550334,0.5696508399358505,2.920874153415012,12.378857142857143,10.428571428571429,14.003571428571425,5.2965689813817844,3.7602229822582,6.575749000194761,0.7001399796285351,0.6138769180521099,0.7814574474894853,0.16662382715205531,0.0925774534340254,0.22592410214197123,0.3798549662638948,0.23794836116264692,0.5045423623995052,0.19053846241592845,0.08406119017812304,0.2979186515968468,1,0.00391,0.7142857142857143,0.02734,0.7142857142857143,0.1875,0.5714285714285714,0.46875,0.14285714285714285,0.98828,7,303,CS,0.165,0.835,Crabeater Seal (CS),0.984375,neut,15.201804919084164,0,5.395897694886901,3.8066624897703196,2.833213344056216,-0.015748356968139168
Hydrurga_leptonyx,leopard_seal,Hydrurga leptonyx,Leopard Seal,1,324,367,287,322.48,least concern,35500,ice,35,100,29,26,54,0.09536784741144415,2.510545010206612,2.5646660642520893,9490,5110,1461,-0.0035258292936500846,-0.007605497395178877,0.0010073110039116816,0.91,6.725214285714285,6.142857142857143,7.285714285714286,2.6450559349841773,2.0821058655036815,3.2046283241652067,0.7324585795611337,0.6949670131210379,0.7701627383409505,0.20981598935379212,0.1535436675316249,0.2661980346801489,0.7234558673469388,0.6634722222222222,0.780952380952381,0.23546913803244163,0.17724435883706882,0.29654330579700555,2.7545454862056857,2.3645869331555462,3.097920386605951,1.921709634520418,1.428421342272795,2.386482326483079,4.539665786915038,3.3557067955542492,5.985189868740165,2.9817735734926116,1.3575677042707364,4.971154476528721,9.820978937728938,8.427678571428572,11.116071428571427,6.395679847975596,4.927900402703809,7.600309049386936,0.7204632407186735,0.6501378937355827,0.8029159781501535,0.22211146437430224,0.16228118920176032,0.2922904826176085,0.3326381033648891,0.231024273345702,0.43338383838383837,0.20840470967140534,0.1440962052012993,0.26739366761140887,0.7857142857142857,0.01227,0.35714285714285715,0.85211,0.35714285714285715,0.92346,0.2857142857142857,0.98987,0.14285714285714285,0.99985,14,150,LS,0.194,0.806,Leopard Seal (LS),0.8828337874659401,neut,10.477287975463508,0,5.780743515792329,4.605170185988092,3.367295829986474,-0.12461833226224084
