.id,IAM_Heq,IAM_Def.Exc,IAM_Sign,IAM_Stand_Diff,IAM_Wilc_Def,IAM_Wilc_Exc,IAM_Wilc_2Tail,TPM70_Heq,TPM70_Def.Exc,TPM70_Sign,TPM70_Stand_Diff,TPM70_Wilc_Def,TPM70_Wilc_Exc,TPM70_Wilc_2Tail,SMM_Heq,SMM_Def.Exc,SMM_Sign,SMM_Stand_Diff,SMM_Wilc_Def,SMM_Wilc_Exc,SMM_Wilc_2Tail,Mode_Shift,TPM80_Heq,TPM80_Def.Exc,TPM80_Sign,TPM80_Stand_Diff,TPM80_Wilc_Def,TPM80_Wilc_Exc,TPM80_Wilc_2Tail,TPM90_Heq,TPM90_Def.Exc,TPM90_Sign,TPM90_Stand_Diff,TPM90_Wilc_Def,TPM90_Wilc_Exc,TPM90_Wilc_2Tail
galapagos_fur_seal_HW,   7.01,2  vs 10, 0.06751,  0.00481, 0.99829, 0.00232, 0.00464,   7.08,6  vs 6, 0.36188,  0.17993, 0.83032, 0.19019, 0.38037,   7.09,7  vs 5, 0.17566,  0.00237, 0.07568, 0.93530, 0.15137,normal L-shaped distribution,   7.09,6  vs 6, 0.36009,  0.35053, 0.66138, 0.36670, 0.73340,   7.08,6  vs 6, 0.36242,  0.32075, 0.42505, 0.60449, 0.85010
galapagos_sea_lion_HW,  12.49,4  vs 18, 0.01257,  0.00054, 0.99998, 0.00002, 0.00004,  12.87,9  vs 13, 0.56843,  0.26052, 0.48731, 0.52537, 0.97462,  12.97,20  vs 2, 0.00000,  0.00000, 0.00000, 1.00000, 0.00000,normal L-shaped distribution,  12.90,12  vs 10, 0.14963,  0.02703, 0.15265, 0.85489, 0.30531,  12.90,16  vs 6, 0.00290,  0.00002, 0.00372, 0.99668, 0.00744
grey_seal_orkneys_HW,   4.63,0  vs 8, 0.01250,  0.00011, 1.00000, 0.00195, 0.00391,   4.73,1  vs 7, 0.09709,  0.01099, 0.99609, 0.00586, 0.01172,   4.75,4  vs 4, 0.42084,  0.04553, 0.19141, 0.84375, 0.38281,normal L-shaped distribution,   4.70,2  vs 6, 0.28923,  0.02909, 0.98633, 0.01953, 0.03906,   4.71,2  vs 6, 0.29217,  0.13293, 0.90234, 0.12500, 0.25000
guadalupe_fur_seal_HW,   8.63,0  vs 15, 0.00025,  0.00000, 1.00000, 0.00002, 0.00003,   8.85,0  vs 15, 0.00036,  0.00003, 1.00000, 0.00002, 0.00003,   8.91,6  vs 9, 0.59138,  0.18084, 0.88535, 0.12619, 0.25238,normal L-shaped distribution,   8.82,1  vs 14, 0.00400,  0.00017, 0.99998, 0.00003, 0.00006,   8.84,1  vs 14, 0.00411,  0.00207, 0.99995, 0.00008, 0.00015
harbour_seal_waddensee_cl_1_HW,   7.00,2  vs 11, 0.02151,  0.03485, 0.99573, 0.01074, 0.02148,   7.44,7  vs 6, 0.29599,  0.39824, 0.39343, 0.63232, 0.78687,   7.51,12  vs 1, 0.00024,  0.00000, 0.00201, 0.99847, 0.00403,normal L-shaped distribution,   7.50,8  vs 5, 0.13049,  0.17631, 0.18787, 0.83020, 0.37573,   7.49,10  vs 3, 0.01231,  0.02365, 0.04016, 0.96594, 0.08032
harbour_seal_waddensee_HW,   6.63,2  vs 10, 0.04321,  0.03357, 0.99475, 0.00671, 0.01343,   6.98,5  vs 7, 0.61586,  0.35929, 0.54517, 0.48486, 0.96973,   7.12,11  vs 1, 0.00038,  0.00000, 0.00037, 0.99976, 0.00073,normal L-shaped distribution,   7.05,8  vs 4, 0.06832,  0.14596, 0.10181, 0.91187, 0.20361,   7.07,10  vs 2, 0.00355,  0.01214, 0.02124, 0.98291, 0.04248
hawaiian_monk_seal_HW,   7.63,1  vs 16, 0.00002,  0.00000, 0.99997, 0.00004, 0.00008,   8.67,3  vs 14, 0.00689,  0.00511, 0.99667, 0.00395, 0.00790,   9.14,10  vs 7, 0.20759,  0.06244, 0.32207, 0.69439, 0.64413,normal L-shaped distribution,   8.86,5  vs 12, 0.09407,  0.02405, 0.98839, 0.01334, 0.02667,   9.05,5  vs 12, 0.11043,  0.15435, 0.91287, 0.09505, 0.19009
hooded_seal_HW,   7.82,2  vs 11, 0.05886,  0.02612, 0.97131, 0.03406, 0.06812,   7.70,8  vs 5, 0.10765,  0.02869, 0.20715, 0.81213, 0.41431,   7.57,12  vs 1, 0.00022,  0.00000, 0.00018, 0.99988, 0.00037,normal L-shaped distribution,   7.65,9  vs 4, 0.03874,  0.00095, 0.07324, 0.93640, 0.14648,   7.62,9  vs 4, 0.04032,  0.00000, 0.01636, 0.98669, 0.03271
lagoda_ringed_seal_cl_1_HW,  10.16,5  vs 12, 0.25790,  0.24585, 0.90495, 0.10345, 0.20689,  10.19,9  vs 8, 0.20030,  0.09043, 0.28953, 0.72617, 0.57906,  10.04,12  vs 5, 0.01297,  0.00002, 0.01008, 0.99129, 0.02016,normal L-shaped distribution,  10.13,11  vs 6, 0.03767,  0.03661, 0.12175, 0.88766, 0.24350,  10.15,12  vs 5, 0.01132,  0.00654, 0.10345, 0.90495, 0.20689
lagoda_ringed_seal_HW,   9.54,6  vs 10, 0.51461,  0.27142, 0.93513, 0.07193, 0.14386,   9.62,8  vs 8, 0.28105,  0.05423, 0.17419, 0.83875, 0.34839,   9.51,13  vs 3, 0.00110,  0.00000, 0.00459, 0.99619, 0.00919,normal L-shaped distribution,   9.55,8  vs 8, 0.29267,  0.01570, 0.12611, 0.88440, 0.25223,   9.53,10  vs 6, 0.06277,  0.00163, 0.04672, 0.95837, 0.09344
leopard_seal_HW,   7.15,3  vs 9, 0.21648,  0.04618, 0.97388, 0.03198, 0.06396,   7.10,8  vs 4, 0.06482,  0.05791, 0.11670, 0.89819, 0.23340,   7.05,10  vs 2, 0.00370,  0.00000, 0.00061, 0.99963, 0.00122,normal L-shaped distribution,   7.09,8  vs 4, 0.06562,  0.00852, 0.07568, 0.93530, 0.15137,   7.05,9  vs 3, 0.01913,  0.00003, 0.01709, 0.99329, 0.03418
mediterranean_monk_seal_HW,   6.48,5  vs 9, 0.13774,  0.00513, 0.98523, 0.01764, 0.03528,   7.10,6  vs 8, 0.41583,  0.08316, 0.87939, 0.13379, 0.26758,   7.45,6  vs 8, 0.49237,  0.31253, 0.57239, 0.45160, 0.90320,normal L-shaped distribution,   7.23,6  vs 8, 0.44371,  0.15367, 0.83710, 0.17877, 0.35754,   7.28,6  vs 8, 0.45487,  0.30819, 0.74921, 0.27081, 0.54163
nes_cl_2_HW,  13.01,3  vs 28, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  14.42,3  vs 28, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  15.45,5  vs 26, 0.00007,  0.00010, 0.99999, 0.00001, 0.00002,normal L-shaped distribution,  14.74,3  vs 28, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  15.09,4  vs 27, 0.00001,  0.00001, 1.00000, 0.00000, 0.00000
nes_HW,  13.40,3  vs 29, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  15.02,4  vs 28, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  16.23,5  vs 27, 0.00006,  0.00064, 0.99996, 0.00005, 0.00009,normal L-shaped distribution,  15.42,4  vs 28, 0.00000,  0.00000, 1.00000, 0.00000, 0.00000,  15.91,4  vs 28, 0.00001,  0.00003, 1.00000, 0.00000, 0.00001
new_zealand_fur_seal_HW,   6.53,3  vs 8, 0.28084,  0.00518, 0.99756, 0.00342, 0.00684,   6.49,3  vs 8, 0.27375,  0.24155, 0.76758, 0.25977, 0.51953,   6.47,6  vs 5, 0.27269,  0.00171, 0.12012, 0.89697, 0.24023,normal L-shaped distribution,   6.51,3  vs 8, 0.27667,  0.41741, 0.76758, 0.25977, 0.51953,   6.50,4  vs 7, 0.50693,  0.26279, 0.58447, 0.44922, 0.89844
new_zealand_sea_lion_HW,   8.48,0  vs 15, 0.00019,  0.00002, 1.00000, 0.00002, 0.00003,   8.85,3  vs 12, 0.07829,  0.01332, 0.99962, 0.00050, 0.00101,   8.83,9  vs 6, 0.11113,  0.01116, 0.07571, 0.93231, 0.15143,normal L-shaped distribution,   8.88,3  vs 12, 0.08088,  0.05083, 0.98923, 0.01279, 0.02557,   8.84,7  vs 8, 0.42442,  0.24747, 0.80530, 0.21060, 0.42120
northern_fur_seal_cl_1_HW,   4.85,1  vs 7, 0.11285,  0.01708, 0.96289, 0.09766, 0.19531,   4.73,1  vs 7, 0.09739,  0.29841, 0.96289, 0.09766, 0.19531,   4.69,8  vs 0, 0.00085,  0.00000, 0.00195, 1.00000, 0.00391,normal L-shaped distribution,   4.70,4  vs 4, 0.43528,  0.11056, 0.72656, 0.32031, 0.64063,   4.68,4  vs 4, 0.43955,  0.00432, 0.57813, 0.47266, 0.94531
northern_fur_seal_HW,   4.85,1  vs 7, 0.11357,  0.01221, 0.96289, 0.09766, 0.19531,   4.71,2  vs 6, 0.29202,  0.20691, 0.80859, 0.23047, 0.46094,   4.66,7  vs 1, 0.01126,  0.00000, 0.00586, 0.99609, 0.01172,normal L-shaped distribution,   4.68,2  vs 6, 0.28550,  0.03777, 0.67969, 0.37109, 0.74219,   4.68,4  vs 4, 0.44140,  0.00042, 0.52734, 0.52734, 1.00000
ross_seal_HW,   5.37,2  vs 7, 0.22550,  0.05776, 0.93555, 0.08203, 0.16406,   5.31,6  vs 3, 0.11094,  0.14510, 0.28516, 0.75195, 0.57031,   5.38,8  vs 1, 0.00391,  0.00000, 0.00195, 0.99902, 0.00391,normal L-shaped distribution,   5.31,6  vs 3, 0.11145,  0.05030, 0.21289, 0.82031, 0.42578,   5.30,7  vs 2, 0.02925,  0.00332, 0.02441, 0.98145, 0.04883
saimaa_ringed_seal_cl_1_HW,   7.01,7  vs 9, 0.22267,  0.11338, 0.85107, 0.16125, 0.32251,   7.69,7  vs 9, 0.33994,  0.24648, 0.55003, 0.46994, 0.93988,   8.14,8  vs 8, 0.57225,  0.00004, 0.35286, 0.66573, 0.70572,normal L-shaped distribution,   7.82,8  vs 8, 0.56385,  0.10794, 0.48997, 0.53006, 0.97995,   8.00,8  vs 8, 0.59886,  0.02536, 0.44997, 0.56987, 0.89993
saimaa_ringed_seal_HW,   6.44,6  vs 9, 0.13864,  0.04831, 0.96814, 0.03650, 0.07300,   7.12,7  vs 8, 0.42002,  0.47793, 0.61923, 0.40198, 0.80396,   7.52,8  vs 7, 0.49561,  0.00427, 0.33939, 0.68066, 0.67877,normal L-shaped distribution,   7.25,7  vs 8, 0.44592,  0.36089, 0.53296, 0.48898, 0.97797,   7.37,8  vs 7, 0.52800,  0.16590, 0.46704, 0.55481, 0.93408
ses_cl_4_HW,   7.69,1  vs 12, 0.01077,  0.00006, 0.99994, 0.00012, 0.00024,   7.69,2  vs 11, 0.05101,  0.01397, 0.98926, 0.01331, 0.02661,   7.63,8  vs 5, 0.11531,  0.05098, 0.27087, 0.75134, 0.54175,normal L-shaped distribution,   7.69,2  vs 11, 0.05147,  0.04381, 0.98364, 0.01990, 0.03979,   7.66,3  vs 10, 0.14920,  0.19440, 0.94507, 0.06360, 0.12720
ses_HW,   7.64,1  vs 12, 0.01003,  0.00000, 0.99994, 0.00012, 0.00024,   7.69,1  vs 12, 0.01086,  0.00230, 0.99573, 0.01074, 0.02148,   7.61,8  vs 5, 0.11781,  0.03301, 0.24866, 0.77258, 0.49731,normal L-shaped distribution,   7.66,1  vs 12, 0.01034,  0.01075, 0.99573, 0.01074, 0.02148,   7.68,2  vs 11, 0.05075,  0.08056, 0.98926, 0.01331, 0.02661
south_american_fur_seal_cl_1_HW,   4.14,0  vs 7, 0.02522,  0.00190, 1.00000, 0.00391, 0.00781,   4.15,0  vs 7, 0.02570,  0.03626, 1.00000, 0.00391, 0.00781,   4.14,5  vs 2, 0.10529,  0.16146, 0.05469, 0.96094, 0.10938,normal L-shaped distribution,   4.16,0  vs 7, 0.02608,  0.07441, 1.00000, 0.00391, 0.00781,   4.14,3  vs 4, 0.59865,  0.19472, 0.96094, 0.05469, 0.10938
south_american_fur_seal_HW,   3.00,0  vs 5, 0.07711,  0.00945, 1.00000, 0.01563, 0.03125,   2.96,1  vs 4, 0.32385,  0.14005, 0.96875, 0.04688, 0.09375,   2.92,4  vs 1, 0.09920,  0.00791, 0.03125, 0.98438, 0.06250,normal L-shaped distribution,   2.94,1  vs 4, 0.31626,  0.23370, 0.95313, 0.07813, 0.15625,   2.96,2  vs 3, 0.66938,  0.47282, 0.59375, 0.50000, 1.00000
south_american_sea_lion_HW,  12.59,1  vs 21, 0.00008,  0.00001, 0.99998, 0.00002, 0.00004,  12.89,5  vs 17, 0.05566,  0.10604, 0.99838, 0.00184, 0.00367,  12.98,18  vs 4, 0.00011,  0.00000, 0.00018, 0.99985, 0.00036,normal L-shaped distribution,  12.93,7  vs 15, 0.25088,  0.35620, 0.95730, 0.04587, 0.09173,  12.95,13  vs 9, 0.06874,  0.11344, 0.27230, 0.73824, 0.54459
stellers_sea_lion_cl_1_HW,   7.37,1  vs 12, 0.00666,  0.00033, 0.99957, 0.00061, 0.00122,   7.60,3  vs 10, 0.14152,  0.08850, 0.96594, 0.04016, 0.08032,   7.69,9  vs 4, 0.03690,  0.00004, 0.01331, 0.98926, 0.02661,normal L-shaped distribution,   7.62,5  vs 8, 0.53307,  0.23992, 0.89185, 0.12195, 0.24390,   7.65,5  vs 8, 0.54029,  0.33709, 0.60657, 0.41968, 0.83936
stellers_sea_lion_HW,   7.38,1  vs 12, 0.00678,  0.00044, 0.99915, 0.00116, 0.00232,   7.65,4  vs 9, 0.32154,  0.15611, 0.95288, 0.05493, 0.10986,   7.67,9  vs 4, 0.03812,  0.00000, 0.01636, 0.98669, 0.03271,normal L-shaped distribution,   7.65,5  vs 8, 0.54042,  0.38379, 0.84729, 0.16980, 0.33960,   7.67,6  vs 7, 0.45585,  0.15509, 0.52698, 0.50000, 1.00000
subantarctic_fur_seal_cl_2_HW,  20.48,6  vs 29, 0.00193,  0.00018, 0.99992, 0.00009, 0.00018,  20.48,13  vs 22, 0.36693,  0.46027, 0.73886, 0.26645, 0.53290,  20.53,29  vs 6, 0.00000,  0.00000, 0.00000, 1.00000, 0.00000,normal L-shaped distribution,  20.50,17  vs 18, 0.24454,  0.14732, 0.36398, 0.64208, 0.72796,  20.49,23  vs 12, 0.00324,  0.00356, 0.02676, 0.97427, 0.05353
subantarctic_fur_seal_HW,  19.83,5  vs 29, 0.00069,  0.00001, 1.00000, 0.00000, 0.00000,  19.88,12  vs 22, 0.28821,  0.18681, 0.86857, 0.13512, 0.27024,  19.99,27  vs 7, 0.00001,  0.00000, 0.00001, 0.99999, 0.00003,normal L-shaped distribution,  19.86,14  vs 20, 0.55362,  0.46376, 0.52690, 0.47982, 0.95963,  19.86,19  vs 15, 0.06514,  0.05163, 0.13512, 0.86857, 0.27024
weddell_seal_cl_2_HW,   8.95,2  vs 13, 0.02556,  0.02861, 0.99487, 0.00623, 0.01245,   8.86,9  vs 6, 0.10862,  0.00006, 0.24435, 0.77286, 0.48871,   8.80,14  vs 1, 0.00004,  0.00000, 0.00003, 0.99998, 0.00006,normal L-shaped distribution,   8.82,10  vs 5, 0.04187,  0.00000, 0.06769, 0.93973, 0.13538,   8.79,10  vs 5, 0.04318,  0.00000, 0.00903, 0.99246, 0.01807
weddell_seal_HW,   7.17,2  vs 10, 0.08046,  0.02699, 0.96802, 0.03857, 0.07715,   7.08,7  vs 5, 0.17607,  0.00031, 0.21191, 0.80981, 0.42383,   7.04,11  vs 1, 0.00045,  0.00000, 0.00024, 0.99988, 0.00049,normal L-shaped distribution,   7.07,7  vs 5, 0.17764,  0.00000, 0.11670, 0.89819, 0.23340,   7.00,8  vs 4, 0.07239,  0.00000, 0.02612, 0.97876, 0.05225
