1:    0.958 0.042 1    
251:  0.954 0.046 1    
252:  0.149 0.851 1    
253:  0.037 0.963 1    
254:  0.216 0.784 1    
255:  0.603 0.397 1    
256:  0.050 0.950 1    
257:  0.921 0.079 1    
258:  0.956 0.044 1    
259:  0.973 0.027 1    
260:  0.206 0.794 1    
261:  0.078 0.922 1    
262:  0.104 0.896 1    
263:  0.124 0.876 1    
264:  0.041 0.959 1    
265:  0.534 0.466 1    
266:  0.508 0.492 1    
267:  0.940 0.060 1    
268:  0.882 0.118 1    
269:  0.870 0.130 1    
270:  0.882 0.118 1    
271:  0.052 0.948 1    
272:  0.127 0.873 1    
273:  0.918 0.082 1    
274:  0.919 0.081 1    
275:  0.624 0.376 1    
276:  0.440 0.560 1    
277:  0.070 0.930 1    
278:  0.570 0.430 1    
279:  0.172 0.828 1    
280:  0.185 0.815 1    
281:  0.956 0.044 1    
282:  0.040 0.960 1    
283:  0.367 0.633 1    
284:  0.695 0.305 1    
285:  0.530 0.470 1    
286:  0.321 0.679 1    
287:  0.056 0.944 1    
288:  0.115 0.885 1    
289:  0.840 0.160 1    
290:  0.054 0.946 1    
291:  0.032 0.968 1    
292:  0.663 0.337 1    
293:  0.961 0.039 1    
294:  0.100 0.900 1    
295:  0.131 0.869 1    
296:  0.054 0.946 1    
297:  0.165 0.835 1    
298:  0.971 0.029 1    
299:  0.518 0.482 1    
300:  0.962 0.038 1    
301:  0.295 0.705 1    
302:  0.946 0.054 1    
303:  0.050 0.950 1    
304:  0.722 0.278 1    
305:  0.681 0.319 1    
306:  0.621 0.379 1    
307:  0.290 0.710 1    
308:  0.716 0.284 1    
309:  0.498 0.502 1    
310:  0.960 0.040 1    
311:  0.928 0.072 1    
312:  0.950 0.050 1    
313:  0.110 0.890 1    
314:  0.885 0.115 1    
315:  0.947 0.053 1    
316:  0.924 0.076 1    
317:  0.950 0.050 1    
318:  0.906 0.094 1    
319:  0.966 0.034 1    
320:  0.927 0.073 1    
321:  0.234 0.766 1    
322:  0.822 0.178 1    
323:  0.119 0.881 1    
324:  0.947 0.053 1    
325:  0.939 0.061 1    
326:  0.107 0.893 1    
327:  0.805 0.195 1    
328:  0.094 0.906 1    
329:  0.111 0.889 1    
330:  0.067 0.933 1    
331:  0.855 0.145 1    
332:  0.060 0.940 1    
333:  0.850 0.150 1    
334:  0.942 0.058 1    
335:  0.954 0.046 1    
336:  0.126 0.874 1    
337:  0.779 0.221 1    
338:  0.118 0.882 1    
339:  0.923 0.077 1    
340:  0.088 0.912 1    
341:  0.076 0.924 1    
342:  0.073 0.927 1    
343:  0.960 0.040 1    
344:  0.504 0.496 1    
345:  0.929 0.071 1    
346:  0.930 0.070 1    
347:  0.814 0.186 1    
348:  0.860 0.140 1    
349:  0.902 0.098 1    
350:  0.912 0.088 1    
351:  0.169 0.831 1    
352:  0.049 0.951 1    
353:  0.920 0.080 1    
354:  0.713 0.287 1    
355:  0.638 0.362 1    
356:  0.941 0.059 1    
357:  0.070 0.930 1    
358:  0.844 0.156 1    
359:  0.488 0.512 1    
360:  0.098 0.902 1    
361:  0.683 0.317 1    
362:  0.094 0.906 1    
363:  0.047 0.953 1    
364:  0.348 0.652 1    
365:  0.866 0.134 1    
366:  0.623 0.377 1    
367:  0.699 0.301 1    
368:  0.291 0.709 1    
369:  0.050 0.950 1    
370:  0.715 0.285 1    
371:  0.070 0.930 1    
372:  0.064 0.936 1    
373:  0.461 0.539 1    
374:  0.897 0.103 1    
375:  0.042 0.958 1    
376:  0.886 0.114 1    
377:  0.880 0.120 1    
378:  0.917 0.083 1    
379:  0.877 0.123 1    
380:  0.447 0.553 1    
381:  0.324 0.676 1    
382:  0.121 0.879 1    
383:  0.057 0.943 1    
384:  0.760 0.240 1    
385:  0.957 0.043 1    
386:  0.098 0.902 1    
387:  0.032 0.968 1    
388:  0.352 0.648 1    
389:  0.626 0.374 1    
390:  0.067 0.933 1    
391:  0.759 0.241 1    
392:  0.221 0.779 1    
393:  0.508 0.492 1    
394:  0.918 0.082 1    
395:  0.082 0.918 1    
396:  0.355 0.645 1    
397:  0.050 0.950 1    
398:  0.516 0.484 1    
399:  0.068 0.932 1    
400:  0.107 0.893 1    
401:  0.069 0.931 1    
402:  0.918 0.082 1    
403:  0.559 0.441 1    
404:  0.842 0.158 1    
405:  0.901 0.099 1    
406:  0.109 0.891 1    
407:  0.061 0.939 1    
408:  0.850 0.150 1    
409:  0.389 0.611 1    
410:  0.037 0.963 1    
411:  0.119 0.881 1    
412:  0.814 0.186 1    
413:  0.711 0.289 1    
414:  0.526 0.474 1    
415:  0.908 0.092 1    
416:  0.915 0.085 1    
417:  0.077 0.923 1    
418:  0.226 0.774 1    
419:  0.242 0.758 1    
420:  0.089 0.911 1    
421:  0.700 0.300 1    
422:  0.562 0.438 1    
423:  0.032 0.968 1    
424:  0.936 0.064 1    
425:  0.089 0.911 1    
426:  0.643 0.357 1    
427:  0.259 0.741 1    
428:  0.077 0.923 1    
429:  0.045 0.955 1    
430:  0.941 0.059 1    
431:  0.225 0.775 1    
432:  0.931 0.069 1    
433:  0.128 0.872 1    
434:  0.926 0.074 1    
435:  0.760 0.240 1    
436:  0.190 0.810 1    
437:  0.883 0.117 1    
438:  0.918 0.082 1    
439:  0.160 0.840 1    
440:  0.947 0.053 1    
441:  0.833 0.167 1    
442:  0.400 0.600 1    
443:  0.077 0.923 1    
444:  0.086 0.914 1    
445:  0.139 0.861 1    
446:  0.944 0.056 1    
447:  0.097 0.903 1    
448:  0.869 0.131 1    
449:  0.955 0.045 1    
450:  0.941 0.059 1    
451:  0.944 0.056 1    
452:  0.059 0.941 1    
453:  0.923 0.077 1    
454:  0.888 0.112 1    
455:  0.068 0.932 1    
456:  0.903 0.097 1    
457:  0.900 0.100 1    
458:  0.065 0.935 1    
459:  0.900 0.100 1    
460:  0.040 0.960 1    
461:  0.932 0.068 1    
462:  0.922 0.078 1    
463:  0.922 0.078 1    
464:  0.084 0.916 1    
465:  0.951 0.049 1    
466:  0.055 0.945 1    
467:  0.084 0.916 1    
468:  0.166 0.834 1    
469:  0.030 0.970 1    
470:  0.908 0.092 1    
471:  0.177 0.823 1    
472:  0.175 0.825 1    
473:  0.109 0.891 1    
474:  0.044 0.956 1    
475:  0.316 0.684 1    
476:  0.952 0.048 1    
477:  0.250 0.750 1    
478:  0.920 0.080 1    
479:  0.068 0.932 1    
480:  0.137 0.863 1    
481:  0.742 0.258 1    
482:  0.914 0.086 1    
483:  0.146 0.854 1    
484:  0.050 0.950 1    
485:  0.044 0.956 1    
486:  0.912 0.088 1    
487:  0.073 0.927 1    
488:  0.077 0.923 1    
489:  0.828 0.172 1    
490:  0.747 0.253 1    
491:  0.134 0.866 1    
492:  0.052 0.948 1    
           
           
1:    0.042 0.958 1    
2:    0.713 0.287 1    
3:    0.948 0.052 1    
4:    0.048 0.952 1    
5:    0.119 0.881 1    
6:    0.938 0.062 1    
7:    0.749 0.251 1    
8:    0.042 0.958 1    
9:    0.961 0.039 1    
10:   0.073 0.927 1    
11:   0.072 0.928 1    
12:   0.397 0.603 1    
13:   0.101 0.899 1    
14:   0.680 0.320 1    
15:   0.649 0.351 1    
16:   0.067 0.933 1    
17:   0.211 0.789 1    
18:   0.208 0.792 1    
19:   0.735 0.265 1    
20:   0.456 0.544 1    
21:   0.163 0.837 1    
22:   0.603 0.397 1    
23:   0.918 0.082 1    
24:   0.956 0.044 1    
25:   0.059 0.941 1    
26:   0.926 0.074 1    
27:   0.040 0.960 1    
28:   0.488 0.512 1    
29:   0.883 0.117 1    
30:   0.594 0.406 1    
31:   0.223 0.777 1    
32:   0.570 0.430 1    
33:   0.548 0.452 1    
34:   0.372 0.628 1    
35:   0.354 0.646 1    
36:   0.949 0.051 1    
37:   0.156 0.844 1    
38:   0.936 0.064 1    
39:   0.334 0.666 1    
40:   0.073 0.927 1    
41:   0.835 0.165 1    
42:   0.289 0.711 1    
43:   0.965 0.035 1    
44:   0.921 0.079 1    
45:   0.076 0.924 1    
46:   0.880 0.120 1    
47:   0.100 0.900 1    
48:   0.912 0.088 1    
49:   0.624 0.376 1    
50:   0.181 0.819 1    
51:   0.394 0.606 1    
52:   0.095 0.905 1    
53:   0.801 0.199 1    
54:   0.335 0.665 1    
55:   0.142 0.858 1    
56:   0.860 0.140 1    
57:   0.962 0.038 1    
58:   0.969 0.031 1    
59:   0.951 0.049 1    
60:   0.897 0.103 1    
61:   0.033 0.967 1    
62:   0.970 0.030 1    
63:   0.080 0.920 1    
64:   0.692 0.308 1    
65:   0.640 0.360 1    
66:   0.145 0.855 1    
67:   0.844 0.156 1    
68:   0.961 0.039 1    
69:   0.018 0.982 1    
70:   0.978 0.022 1    
71:   0.924 0.076 1    
72:   0.871 0.129 1    
73:   0.054 0.946 1    
74:   0.154 0.846 1    
75:   0.045 0.955 1    
76:   0.907 0.093 1    
77:   0.903 0.097 1    
78:   0.097 0.903 1    
79:   0.050 0.950 1    
80:   0.967 0.033 1    
81:   0.382 0.618 1    
82:   0.159 0.841 1    
83:   0.897 0.103 1    
84:   0.678 0.322 1    
85:   0.211 0.789 1    
86:   0.784 0.216 1    
87:   0.887 0.113 1    
88:   0.855 0.145 1    
89:   0.061 0.939 1    
90:   0.921 0.079 1    
91:   0.048 0.952 1    
92:   0.852 0.148 1    
93:   0.680 0.320 1    
94:   0.229 0.771 1    
95:   0.835 0.165 1    
96:   0.204 0.796 1    
97:   0.936 0.064 1    
98:   0.325 0.675 1    
99:   0.508 0.492 1    
100:  0.041 0.959 1    
101:  0.936 0.064 1    
102:  0.573 0.427 1    
103:  0.919 0.081 1    
104:  0.047 0.953 1    
105:  0.031 0.969 1    
106:  0.730 0.270 1    
107:  0.130 0.870 1    
108:  0.027 0.973 1    
109:  0.086 0.914 1    
110:  0.654 0.346 1    
111:  0.048 0.952 1    
112:  0.156 0.844 1    
113:  0.805 0.195 1    
114:  0.229 0.771 1    
115:  0.052 0.948 1    
116:  0.082 0.918 1    
117:  0.952 0.048 1    
118:  0.094 0.906 1    
119:  0.104 0.896 1    
120:  0.824 0.176 1    
121:  0.962 0.038 1    
122:  0.822 0.178 1    
123:  0.956 0.044 1    
124:  0.956 0.044 1    
125:  0.609 0.391 1    
126:  0.888 0.112 1    
127:  0.771 0.229 1    
128:  0.069 0.931 1    
129:  0.818 0.182 1    
130:  0.816 0.184 1    
131:  0.804 0.196 1    
132:  0.627 0.373 1    
133:  0.053 0.947 1    
134:  0.909 0.091 1    
135:  0.911 0.089 1    
136:  0.261 0.739 1    
137:  0.642 0.358 1    
138:  0.151 0.849 1    
139:  0.091 0.909 1    
140:  0.957 0.043 1    
141:  0.634 0.366 1    
142:  0.064 0.936 1    
143:  0.849 0.151 1    
144:  0.862 0.138 1    
145:  0.894 0.106 1    
146:  0.881 0.119 1    
147:  0.787 0.213 1    
148:  0.952 0.048 1    
149:  0.146 0.854 1    
150:  0.495 0.505 1    
151:  0.044 0.956 1    
152:  0.971 0.029 1    
153:  0.036 0.964 1    
154:  0.720 0.280 1    
155:  0.940 0.060 1    
156:  0.642 0.358 1    
157:  0.814 0.186 1    
158:  0.678 0.322 1    
159:  0.247 0.753 1    
160:  0.072 0.928 1    
161:  0.069 0.931 1    
162:  0.936 0.064 1    
163:  0.750 0.250 1    
164:  0.075 0.925 1    
165:  0.582 0.418 1    
166:  0.210 0.790 1    
167:  0.478 0.522 1    
168:  0.473 0.527 1    
169:  0.046 0.954 1    
170:  0.374 0.626 1    
171:  0.897 0.103 1    
172:  0.042 0.958 1    
173:  0.048 0.952 1    
174:  0.511 0.489 1    
175:  0.781 0.219 1    
176:  0.251 0.749 1    
177:  0.697 0.303 1    
178:  0.097 0.903 1    
179:  0.185 0.815 1    
180:  0.192 0.808 1    
181:  0.578 0.422 1    
182:  0.077 0.923 1    
183:  0.046 0.954 1    
184:  0.460 0.540 1    
185:  0.190 0.810 1    
186:  0.226 0.774 1    
187:  0.965 0.035 1    
188:  0.034 0.966 1    
189:  0.644 0.356 1    
190:  0.719 0.281 1    
191:  0.085 0.915 1    
192:  0.477 0.523 1    
193:  0.393 0.607 1    
194:  0.910 0.090 1    
195:  0.104 0.896 1    
196:  0.223 0.777 1    
197:  0.871 0.129 1    
198:  0.069 0.931 1    
199:  0.859 0.141 1    
200:  0.109 0.891 1    
201:  0.066 0.934 1    
202:  0.908 0.092 1    
203:  0.947 0.053 1    
204:  0.742 0.258 1    
205:  0.950 0.050 1    
206:  0.946 0.054 1    
207:  0.103 0.897 1    
208:  0.068 0.932 1    
209:  0.114 0.886 1    
210:  0.806 0.194 1    
211:  0.068 0.932 1    
212:  0.055 0.945 1    
213:  0.781 0.219 1    
214:  0.966 0.034 1    
215:  0.087 0.913 1    
216:  0.067 0.933 1    
217:  0.855 0.145 1    
218:  0.886 0.114 1    
219:  0.032 0.968 1    
220:  0.790 0.210 1    
221:  0.944 0.056 1    
222:  0.682 0.318 1    
223:  0.947 0.053 1    
224:  0.467 0.533 1    
225:  0.154 0.846 1    
226:  0.279 0.721 1    
227:  0.965 0.035 1    
228:  0.881 0.119 1    
229:  0.105 0.895 1    
230:  0.381 0.619 1    
231:  0.045 0.955 1    
232:  0.262 0.738 1    
233:  0.060 0.940 1    
234:  0.057 0.943 1    
235:  0.247 0.753 1    
236:  0.937 0.063 1    
237:  0.085 0.915 1    
238:  0.923 0.077 1    
239:  0.307 0.693 1    
240:  0.809 0.191 1    
241:  0.567 0.433 1    
242:  0.135 0.865 1    
243:  0.661 0.339 1    
244:  0.959 0.041 1    
245:  0.029 0.971 1    
246:  0.296 0.704 1    
247:  0.257 0.743 1    
248:  0.213 0.787 1    
249:  0.084 0.916 1    
250:  0.336 0.664 1    
251:  0.045 0.955 1    
252:  0.855 0.145 1    
253:  0.966 0.034 1    
254:  0.807 0.193 1    
255:  0.375 0.625 1    
256:  0.953 0.047 1    
257:  0.071 0.929 1    
258:  0.041 0.959 1    
259:  0.026 0.974 1    
260:  0.800 0.200 1    
261:  0.927 0.073 1    
262:  0.898 0.102 1    
263:  0.879 0.121 1    
264:  0.959 0.041 1    
265:  0.463 0.537 1    
266:  0.484 0.516 1    
267:  0.058 0.942 1    
268:  0.117 0.883 1    
269:  0.138 0.862 1    
270:  0.133 0.867 1    
271:  0.951 0.049 1    
272:  0.870 0.130 1    
273:  0.078 0.922 1    
274:  0.083 0.917 1    
275:  0.373 0.627 1    
276:  0.555 0.445 1    
277:  0.930 0.070 1    
278:  0.428 0.572 1    
279:  0.826 0.174 1    
280:  0.827 0.173 1    
281:  0.040 0.960 1    
282:  0.959 0.041 1    
283:  0.618 0.382 1    
284:  0.310 0.690 1    
285:  0.472 0.528 1    
286:  0.671 0.329 1    
287:  0.945 0.055 1    
288:  0.894 0.106 1    
289:  0.132 0.868 1    
290:  0.952 0.048 1    
291:  0.969 0.031 1    
292:  0.327 0.673 1    
293:  0.035 0.965 1    
294:  0.904 0.096 1    
295:  0.876 0.124 1    
296:  0.946 0.054 1    
297:  0.824 0.176 1    
298:  0.026 0.974 1    
299:  0.481 0.519 1    
300:  0.040 0.960 1    
301:  0.703 0.297 1    
302:  0.046 0.954 1    
303:  0.951 0.049 1    
304:  0.282 0.718 1    
305:  0.293 0.707 1    
306:  0.412 0.588 1    
307:  0.727 0.273 1    
308:  0.270 0.730 1    
309:  0.500 0.500 1    
310:  0.040 0.960 1    
311:  0.070 0.930 1    
312:  0.050 0.950 1    
313:  0.894 0.106 1    
314:  0.106 0.894 1    
315:  0.051 0.949 1    
316:  0.078 0.922 1    
317:  0.043 0.957 1    
318:  0.092 0.908 1    
319:  0.036 0.964 1    
320:  0.063 0.937 1    
321:  0.764 0.236 1    
322:  0.153 0.847 1    
323:  0.888 0.112 1    
324:  0.055 0.945 1    
325:  0.059 0.941 1    
326:  0.897 0.103 1    
327:  0.191 0.809 1    
328:  0.910 0.090 1    
329:  0.883 0.117 1    
330:  0.933 0.067 1    
331:  0.127 0.873 1    
332:  0.942 0.058 1    
333:  0.154 0.846 1    
334:  0.061 0.939 1    
335:  0.041 0.959 1    
336:  0.882 0.118 1    
337:  0.211 0.789 1    
338:  0.896 0.104 1    
339:  0.070 0.930 1    
340:  0.914 0.086 1    
341:  0.923 0.077 1    
342:  0.923 0.077 1    
343:  0.043 0.957 1    
344:  0.478 0.522 1    
345:  0.061 0.939 1    
346:  0.065 0.935 1    
347:  0.178 0.822 1    
348:  0.131 0.869 1    
349:  0.089 0.911 1    
350:  0.088 0.912 1    
351:  0.845 0.155 1    
352:  0.955 0.045 1    
353:  0.085 0.915 1    
354:  0.290 0.710 1    
355:  0.365 0.635 1    
356:  0.057 0.943 1    
357:  0.930 0.070 1    
358:  0.156 0.844 1    
359:  0.489 0.511 1    
360:  0.902 0.098 1    
361:  0.314 0.686 1    
362:  0.905 0.095 1    
363:  0.956 0.044 1    
364:  0.668 0.332 1    
365:  0.126 0.874 1    
366:  0.395 0.605 1    
367:  0.338 0.662 1    
368:  0.693 0.307 1    
369:  0.950 0.050 1    
370:  0.281 0.719 1    
371:  0.927 0.073 1    
372:  0.934 0.066 1    
373:  0.546 0.454 1    
374:  0.100 0.900 1    
375:  0.960 0.040 1    
376:  0.102 0.898 1    
377:  0.109 0.891 1    
378:  0.076 0.924 1    
379:  0.126 0.874 1    
380:  0.537 0.463 1    
381:  0.673 0.327 1    
382:  0.870 0.130 1    
383:  0.946 0.054 1    
384:  0.235 0.765 1    
385:  0.038 0.962 1    
386:  0.894 0.106 1    
387:  0.966 0.034 1    
388:  0.662 0.338 1    
389:  0.345 0.655 1    
390:  0.930 0.070 1    
391:  0.215 0.785 1    
392:  0.767 0.233 1    
393:  0.494 0.506 1    
394:  0.067 0.933 1    
395:  0.925 0.075 1    
396:  0.659 0.341 1    
397:  0.950 0.050 1    
398:  0.464 0.536 1    
399:  0.926 0.074 1    
400:  0.882 0.118 1    
401:  0.932 0.068 1    
402:  0.073 0.927 1    
403:  0.434 0.566 1    
404:  0.139 0.861 1    
405:  0.091 0.909 1    
406:  0.901 0.099 1    
407:  0.943 0.057 1    
408:  0.152 0.848 1    
409:  0.599 0.401 1    
410:  0.964 0.036 1    
411:  0.882 0.118 1    
412:  0.182 0.818 1    
413:  0.281 0.719 1    
414:  0.468 0.532 1    
415:  0.080 0.920 1    
416:  0.075 0.925 1    
417:  0.921 0.079 1    
418:  0.791 0.209 1    
419:  0.755 0.245 1    
420:  0.908 0.092 1    
421:  0.301 0.699 1    
422:  0.443 0.557 1    
423:  0.968 0.032 1    
424:  0.059 0.941 1    
425:  0.915 0.085 1    
426:  0.351 0.649 1    
427:  0.769 0.231 1    
428:  0.929 0.071 1    
429:  0.955 0.045 1    
430:  0.056 0.944 1    
431:  0.805 0.195 1    
432:  0.066 0.934 1    
433:  0.872 0.128 1    
434:  0.071 0.929 1    
435:  0.218 0.782 1    
436:  0.797 0.203 1    
437:  0.109 0.891 1    
438:  0.083 0.917 1    
439:  0.843 0.157 1    
440:  0.053 0.947 1    
441:  0.158 0.842 1    
442:  0.584 0.416 1    
443:  0.921 0.079 1    
444:  0.915 0.085 1    
445:  0.869 0.131 1    
446:  0.053 0.947 1    
447:  0.902 0.098 1    
448:  0.127 0.873 1    
449:  0.042 0.958 1    
450:  0.058 0.942 1    
451:  0.053 0.947 1    
452:  0.941 0.059 1    
453:  0.073 0.927 1    
454:  0.102 0.898 1    
455:  0.936 0.064 1    
456:  0.084 0.916 1    
457:  0.091 0.909 1    
458:  0.934 0.066 1    
459:  0.095 0.905 1    
460:  0.963 0.037 1    
461:  0.066 0.934 1    
462:  0.073 0.927 1    
463:  0.072 0.928 1    
464:  0.915 0.085 1    
465:  0.042 0.958 1    
466:  0.941 0.059 1    
467:  0.917 0.083 1    
468:  0.842 0.158 1    
469:  0.972 0.028 1    
470:  0.086 0.914 1    
471:  0.819 0.181 1    
472:  0.828 0.172 1    
473:  0.897 0.103 1    
474:  0.957 0.043 1    
475:  0.697 0.303 1    
476:  0.045 0.955 1    
477:  0.746 0.254 1    
478:  0.076 0.924 1    
479:  0.932 0.068 1    
480:  0.865 0.135 1    
481:  0.261 0.739 1    
482:  0.080 0.920 1    
483:  0.854 0.146 1    
484:  0.951 0.049 1    
485:  0.959 0.041 1    
486:  0.072 0.928 1    
487:  0.926 0.074 1    
488:  0.925 0.075 1    
489:  0.146 0.854 1    
490:  0.223 0.777 1    
491:  0.865 0.135 1    
492:  0.940 0.060 1    
           
           
1:    0.961 0.039 1    
2:    0.281 0.719 1    
3:    0.054 0.946 1    
4:    0.951 0.049 1    
5:    0.894 0.106 1    
6:    0.058 0.942 1    
7:    0.231 0.769 1    
8:    0.960 0.040 1    
9:    0.040 0.960 1    
10:   0.934 0.066 1    
11:   0.926 0.074 1    
12:   0.600 0.400 1    
13:   0.895 0.105 1    
14:   0.316 0.684 1    
